FCLT_CD,GRND_UDGD_SE,ORTM_UTLZ_TYPE,SGG_CD,FCLT_SE_CD,ROAD_NM_CD,LOT_MIN,SHNT_PSBLTY_NOPE,FCLT_SCL,LOT_SEC,EMD_NM,FCLT_ADDR_RONA,SE_CD,OPN_YN,LAT_SEC,LAT_PROVIN,LAT_MIN,MNG_INST_TELNO,FCLT_NM,FCLT_DSGN_DAY,MNG_INST_NM,FCLT_ADDR_LOTNO,SCL_UNIT,LOT_PROVIN,EMD_CD
S201100019,1,주차장,5630000,3           ,4412152     ,4,17905,14772,21,기흥구 서농동,"경기도 용인시 기흥구 서그내로16번길 14 (서천동, 서그내마을 서천아이파크)",2,Y,46,37,14,031-324-6400,서그내마을 용인서천아이파크 전체 동의 지하주차장 1층,20110217,경기도 용인시 기흥구청,경기도 용인시 기흥구 서천동 708번지,㎡,127,5630012     
S200600001,1,주차장,5630000,3           ,3204049     ,4,17164,14161,18,기흥구 서농동,"경기도 용인시 기흥구 예현로 15 (서천동, 서그내마을에스케이아파트)",2,Y,40,37,14,031-324-6400,서그내마을 SK아파트 전체 동의 지하주차장 1층,20060103,경기도 용인시 기흥구청,경기도 용인시 기흥구 서천동 700 서그내마을에스케이아파트,㎡,127,5630012     
S200600002,1,주차장,5630000,3           ,4412203     ,4,18415,15193,5,기흥구 서농동,"경기도 용인시 기흥구 예현로35번길 21 (서천동, 예현마을현대홈타운)",2,Y,29,37,14,031-324-6400,예현마을 현대홈타운아파트 전체 동의 지하주차장 1층,20060103,경기도 용인시 기흥구청,경기도 용인시 기흥구 서천동 705번지,㎡,127,5630012     
S201100074,1,주차장,5630000,3           ,3204080     ,4,13107,10814,10,기흥구 서농동,"경기도 용인시 기흥구 서천서로 125 (농서동, 서천마을3단지)",2,Y,9,37,14,031-324-6400,서천마을 휴먼시아3단지아파트 전체 동의 지하주차장 1층,20111109,경기도 용인시 기흥구청,경기도 용인시 기흥구 농서동 395번지,㎡,127,5630012     
S199800008,1,주차장,3680000,3           ,4304106     ,26,12961,10693,23,신탄진동,"대전광역시 대덕구 대청로82번길 147 (신탄진동, 대전보훈병원)",2,Y,51,36,26,042-608-6420,대전보훈병원 지하주차장 1층,19980101,대전광역시 대덕구청,대전광역시 대덕구 신탄진동 220번지,㎡,127,3680031     
S199200015,1,주차장,3680000,3           ,4304353     ,25,593,490,49,신탄진동,"대전광역시 대덕구 신탄진로778번길 12 (신탄진동, 거성아파트)",2,Y,49,36,26,042-608-6420,거성아파트 나동 지하주차장 1층,19920101,대전광역시 대덕구청,대전광역시 대덕구 신탄진동 175번지 13호,㎡,127,3680031     
E199500002,0,생활용수,3680000,2           ,4304105     ,26,0,219,8,신탄진동,대전광역시 대덕구 대청로64번길 70(신탄진동),1,Y,1,36,27,042-608-6420,신탄진어린이공원,19951011,대전광역시 대덕구청,대전광역시 대덕구 신탄진동 21,t(톤),127,3680031     
S199200016,1,주차장,3680000,3           ,4304353     ,25,642,530,49,신탄진동,"대전광역시 대덕구 신탄진로778번길 16 (신탄진동, 거성아파트)",2,Y,48,36,26,042-608-6420,거성아파트 가동 지하주차장 1층,19920101,대전광역시 대덕구청,대전광역시 대덕구 신탄진동 175번지 29호,㎡,127,3680031     
S199200017,1,주차장,3680000,3           ,4304352     ,25,671,554,49,신탄진동,"대전광역시 대덕구 신탄진로772번길 11 (신탄진동, 홍림아파트)",2,Y,47,36,26,042-608-6420,홍림아파트 부설 지하주차장 1층,19920101,대전광역시 대덕구청,대전광역시 대덕구 신탄진동 175번지 30호,㎡,127,3680031     
S199300009,1,주차장,3680000,3           ,3168020     ,26,2238,1847,8,신탄진동,"대전광역시 대덕구 신탄진남로 26 (신탄진동, 흥진아파트)",2,Y,46,36,26,042-608-6420,흥진아파트 지하주차장 1층,19930701,대전광역시 대덕구청,대전광역시 대덕구 신탄진동 166번지 3호,㎡,127,3680031     
